Date,oil_price,change_oil_price,gdp,change_gdp,interest_rate,change_interest_rate,cpi,change_cpi_rate,unemployment_rate,change_unemployment_rate,stock,stock_price,monthly_return,volatility,industry
12-1980,25.83,7.669862443,2985.557,4.518633578,18.9,307.3275862068965,86.4,0.934579439,7.2,-4,MMM,6.166388034820557,-0.02680413,0.077115541,Industrials & Energy
12-1980,25.83,7.669862443,2985.557,4.518633578,18.9,307.3275862068965,86.4,0.934579439,7.2,-4,WMT,0.078776002,0.075557748,0.0525239,Consumer Discretionary & Consumer Staples
01-1981,28.81,11.53697251,3124.206,4.643991054,19.08,38.06078147612155,87.2,0.925925926,7.5,4.166666667,IBM,15.385993957519531,-0.05156533,0.037566276,Technology & Communication Services
01-1981,28.81,11.53697251,3124.206,4.643991054,19.08,38.06078147612155,87.2,0.925925926,7.5,4.166666667,MMM,6.074936866760254,-0.014830589,0.061392802,Industrials & Energy
01-1981,28.81,11.53697251,3124.206,4.643991054,19.08,38.06078147612155,87.2,0.925925926,7.5,4.166666667,WMT,0.078125,-0.008263963,0.062460735,Consumer Discretionary & Consumer Staples
02-1981,34.3,19.05588337,3124.206,4.643991054,15.93,12.738853503184703,88,0.917431193,7.4,-1.333333333,IBM,15.356119155883787,-0.001941688,0.028164604,Technology & Communication Services
02-1981,34.3,19.05588337,3124.206,4.643991054,15.93,12.738853503184703,88,0.917431193,7.4,-1.333333333,MMM,6.558319091796875,0.079569917,0.058266999,Industrials & Energy
02-1981,34.3,19.05588337,3124.206,4.643991054,15.93,12.738853503184703,88,0.917431193,7.4,-1.333333333,WMT,0.082356997,0.054169559,0.043553566,Consumer Discretionary & Consumer Staples
03-1981,34.59,0.84548105,3124.206,4.643991054,14.7,-14.48516579,88.6,0.681818182,7.4,0,IBM,14.90798282623291,-0.029182916,0.024851434,Technology & Communication Services
03-1981,34.59,0.84548105,3124.206,4.643991054,14.7,-14.48516579,88.6,0.681818182,7.4,0,MMM,6.597513198852539,0.005976243,0.049599074,Industrials & Energy
03-1981,34.59,0.84548105,3124.206,4.643991054,14.7,-14.48516579,88.6,0.681818182,7.4,0,WMT,0.095051996,0.15414597500635296,0.081924982,Consumer Discretionary & Consumer Staples
04-1981,33.92,-1.936976005,3162.532,1.226743691,15.72,-10.73253833,89.1,0.564334086,7.2,-2.702702703,IBM,14.011711120605469,-0.060120253,0.029108844,Technology & Communication Services
04-1981,33.92,-1.936976005,3162.532,1.226743691,15.72,-10.73253833,89.1,0.564334086,7.2,-2.702702703,MMM,6.3231611251831055,-0.041584164,0.061041424,Industrials & Energy
04-1981,33.92,-1.936976005,3162.532,1.226743691,15.72,-10.73253833,89.1,0.564334086,7.2,-2.702702703,WMT,0.10058599710464478,0.058220773,0.056588191,Consumer Discretionary & Consumer Staples
05-1981,32.73,-3.508254717,3162.532,1.226743691,18.52,68.67030965,89.7,0.673400673,7.5,4.166666667,IBM,14.041586875915527,0.002132199,0.031126417,Technology & Communication Services
05-1981,32.73,-3.508254717,3162.532,1.226743691,18.52,68.67030965,89.7,0.673400673,7.5,4.166666667,MMM,5.878972053527832,-0.070247944,0.038500501,Industrials & Energy
05-1981,32.73,-3.508254717,3162.532,1.226743691,18.52,68.67030965,89.7,0.673400673,7.5,4.166666667,WMT,0.1009109988808632,0.003231084,0.076377151,Consumer Discretionary & Consumer Staples
06-1981,31.68,-3.208065995,3162.532,1.226743691,19.1,101.6895459345301,90.5,0.891861761,7.5,0,IBM,13.832456588745115,-0.014893636,0.032173213,Technology & Communication Services
06-1981,31.68,-3.208065995,3162.532,1.226743691,19.1,101.6895459345301,90.5,0.891861761,7.5,0,MMM,6.009614944458008,0.022222064,0.047334887,Industrials & Energy
06-1981,31.68,-3.208065995,3162.532,1.226743691,19.1,101.6895459345301,90.5,0.891861761,7.5,0,WMT,0.098958001,-0.019353672,0.039899314,Consumer Discretionary & Consumer Staples
07-1981,31.1,-1.830808081,3260.609,3.101217632,19.04,110.85271317829456,91.5,1.104972376,7.2,-4,IBM,13.414196968078612,-0.030237552,0.016192156,Technology & Communication Services
